Group,Time,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99,C100
CONTROL,256.5,1053.18,1008.33,1217.68,978.35,972.89,1112.58,874.06,859.39,1178.71,1169.79,965.96,921.14,1010.67,922.68,1033.23,1228.9,930.71,997.23,980.09,680.72,872.34,1021.59,1018.14,1087.82,1171.51,1000.1,951.3,1046.9,1043.06,973.81,1023.4,970.74,891.91,1194.88,799.62,1110.5,955.63,1237.22,1198.82,971.37,1023.05,913.28,1053.53,973.36,908.59,1044.01,1094.26,1236.47,874.65,1137.07,1081.76,989.65,1191.65,1161.85,1030.55,1029.14,940.51,996.51,1036.51,1171.21,949.21,902.4,894.29,976.88,829.22,1047.92,972.46,1062.04,867.15,958.51,814.83,937.38,1093.06,927.78,1098.56,825.23,1106.1,1163.57,1174.31,953.77,1071.89,1115.86,1245.41,873.71,1148.59,1110.71,1030.3,1074.04,1007.11,1051.5,1023.29,1130.66,1275.12,1090.24,1298.87,1067.85,873.67,916.68,1237.47,1008.2
CONTROL,256.6,1056.26,953.45,1236.03,1010.69,1009.3,1079.17,826.48,886.86,1159.48,1128.26,923.19,938.13,1046.21,958.26,1060.55,1208.96,929.51,968.25,1022.02,710.51,878.79,1037.39,1023.33,1039.32,1171.3,1007.19,986.74,1036.85,1082.98,985.15,1014.44,966.03,919.61,1200.65,760.68,1114.27,951.1,1186.94,1209.5,966.25,1027.24,904.88,1049.58,1017.59,960.52,1086.1,1104.37,1233.88,902.35,1128.74,1087.46,990.59,1128.07,1168.76,1104.95,1004.23,954.19,984.98,1006.68,1151.01,940.42,884.2,949.42,1004.36,811.1,1042.18,972.96,1057.75,856.57,992.93,817.52,945.01,1129.21,952.99,1110.15,802.65,1073.45,1175.25,1054.99,930.93,1073.76,1111.99,1212.59,824.13,1099.5,1105.95,1042.09,1076.04,1035.68,1034.36,1000.01,1044.25,1255.23,1117.72,1265.3,1050.92,866.38,924.45,1238.82,1016.26
CONTROL,256.7,1002.39,983.28,1204.9,949.0,952.1,1139.37,856.93,904.38,1163.17,1159.84,929.04,904.07,1004.19,927.56,1028.72,1225.08,958.64,953.91,997.42,699.65,868.86,1030.89,1002.67,1045.74,1155.84,986.16,980.38,1065.52,1062.12,974.08,994.56,959.26,914.12,1166.59,776.95,1082.18,922.51,1180.75,1169.8,966.69,1011.08,891.33,1053.31,990.2,958.9,1088.04,1038.03,1204.92,925.82,1124.97,1073.33,978.29,1140.38,1194.32,1142.25,1002.65,927.14,1031.5,997.46,1139.33,941.31,894.47,938.37,992.07,819.38,1049.5,961.11,1086.64,853.73,971.22,812.54,920.6,1102.17,937.71,1044.9,821.89,1071.82,1143.76,1087.95,953.61,1045.09,1155.49,1234.24,892.02,1140.27,1128.64,1030.6,1087.99,987.55,1019.92,1019.76,1075.63,1240.2,1076.57,1314.27,1081.35,863.12,921.01,1269.83,988.05
CONTROL,256.8,1041.99,983.27,1224.4,982.9,965.59,1088.68,849.09,884.34,1128.02,1181.32,967.51,903.38,1050.34,922.39,1049.46,1205.98,928.32,978.54,1019.28,727.32,858.96,1028.36,1012.23,1048.28,1203.43,991.53,981.95,1060.73,1082.68,962.23,1033.96,963.17,926.81,1181.6,804.32,1135.35,927.37,1124.24,1223.78,974.67,1009.01,905.65,1057.8,970.23,974.84,1052.23,1080.63,1218.83,909.39,1105.12,1038.35,996.38,1204.04,1167.83,1086.99,1012.96,942.23,982.85,1009.8,1135.71,980.03,909.78,916.68,966.22,816.84,1124.84,997.34,1068.91,868.06,984.01,810.61,974.59,1096.37,948.68,1142.72,843.29,1042.91,1161.49,1121.65,955.75,1049.97,1104.13,1209.3,831.28,1120.91,1105.19,1004.52,1054.38,1004.53,1013.92,1019.78,1058.47,1239.46,1109.84,1267.81,1060.15,849.98,918.28,1288.84,1018.65
CONTROL,256.9,1052.75,974.98,1229.13,957.12,981.31,1073.34,911.8,863.35,1105.24,1171.25,949.42,929.81,997.87,948.23,1065.13,1218.45,930.05,969.98,1008.1,698.09,855.54,1047.41,978.28,1030.93,1192.99,957.1,979.78,1043.56,1109.07,957.41,1045.06,985.97,892.04,1171.4,774.58,1143.79,926.36,1130.4,1199.32,941.97,1046.48,919.97,1041.0,996.91,963.72,1058.11,1057.43,1207.25,892.43,1140.38,1080.0,985.58,1196.3,1191.89,1081.71,1040.81,957.08,1021.59,1017.47,1120.78,934.14,876.55,905.43,973.64,818.17,1052.53,1007.32,1068.98,866.82,989.79,800.67,970.47,1076.86,944.73,1136.25,839.49,1067.57,1174.8,1134.1,968.26,1063.27,1126.61,1233.63,858.25,1143.27,1113.85,1047.52,1098.17,1037.57,1038.51,987.96,1091.35,1234.51,1126.14,1242.78,1056.21,868.55,915.16,1212.9,1006.34
CONTROL,257.0,1059.73,979.27,1186.52,946.53,968.62,1095.62,872.92,874.68,1116.51,1127.46,991.56,912.89,1037.69,927.49,1061.37,1163.32,959.55,967.28,987.04,695.08,845.73,1004.1,1018.67,1080.39,1204.79,1004.85,989.65,1038.9,1082.35,960.46,1009.42,1007.08,896.8,1207.94,779.67,1127.92,947.36,1116.33,1169.91,960.6,1023.08,911.67,1001.68,978.33,974.27,1066.05,1036.53,1196.55,877.2,1133.39,1060.15,976.91,1179.51,1177.42,1097.37,1021.68,945.11,1027.82,1000.82,1132.39,955.85,898.77,956.5,978.96,816.01,1101.3,995.28,1041.77,856.81,958.96,799.05,963.18,1117.55,924.21,1122.45,795.13,1035.85,1201.74,1090.96,938.68,1035.18,1068.54,1226.06,845.64,1118.7,1064.99,1019.96,1088.74,997.22,1043.85,1034.81,1088.7,1237.56,1077.03,1221.62,1043.62,849.21,937.13,1259.29,1001.82
CONTROL,257.1,1037.32,986.58,1239.27,951.06,983.8,1072.54,831.87,875.68,1070.71,1140.75,965.17,926.59,1043.4,922.35,1009.58,1179.8,928.87,950.24,1015.72,697.85,837.43,994.95,1025.48,1054.83,1167.12,965.48,1152.75,1056.75,1065.12,954.65,1038.65,988.35,915.84,1151.69,799.36,1126.65,963.0,1119.28,1212.53,915.56,1032.59,888.55,1046.64,957.08,938.51,1073.7,1073.0,1240.98,897.52,1167.21,1069.66,994.66,1109.12,1195.23,1092.14,1067.72,912.83,994.28,1002.12,1114.27,947.14,912.82,871.23,1010.17,818.15,1060.64,994.02,1073.28,855.85,965.64,823.75,970.89,1077.5,948.18,1106.19,824.88,1054.66,1188.5,1097.1,952.32,1056.13,1122.44,1237.25,845.91,1111.75,1092.87,1048.75,1081.4,1018.69,1025.97,1037.73,1093.07,1227.11,1109.54,1188.75,1085.7,883.55,951.0,1282.03,1027.49
CONTROL,257.2,1064.3,972.88,1245.83,946.89,981.05,1094.75,864.03,843.79,1113.29,1120.45,952.06,946.23,1060.7,955.18,1097.12,1240.5,964.91,1001.55,1013.85,701.28,847.8,1013.87,1007.4,1053.28,1184.84,981.41,1200.06,1057.82,1109.49,946.03,1056.97,1001.67,879.51,1157.14,805.85,1133.17,956.31,1092.71,1202.7,972.06,989.32,907.18,1017.63,998.92,918.33,1057.32,1071.53,1218.99,922.05,1158.17,1033.12,998.87,1128.4,1165.33,1060.92,1048.43,965.88,1021.4,1008.92,1096.76,978.26,910.87,920.16,975.7,838.64,1062.49,975.62,1124.54,844.69,990.75,792.83,946.56,1085.07,943.68,1125.98,825.97,1054.52,1170.86,1096.23,939.42,1032.26,1117.24,1207.36,892.35,1164.53,1091.49,1058.83,1196.49,1029.22,1075.72,972.48,1103.24,1226.76,1078.77,1230.62,1053.87,857.69,947.69,1257.77,1022.65
CONTROL,257.3,1030.64,1018.69,1255.29,953.04,1023.72,1092.5,863.46,874.77,1080.48,1168.5,976.05,953.53,1026.78,927.98,1034.98,1249.47,928.33,972.52,1020.44,690.1,834.58,1031.53,1038.24,1060.55,1201.22,995.48,1168.46,1025.09,1097.42,931.79,1044.09,982.07,930.73,1184.57,767.35,1122.37,1127.04,1081.56,1230.77,941.42,1003.2,912.35,1051.54,973.37,935.85,1055.57,1080.89,1235.96,925.73,1134.05,1082.12,984.1,1136.08,1150.97,1095.46,1035.17,928.97,989.01,974.16,1100.87,912.73,921.84,917.44,997.69,804.15,1059.94,1013.6,1072.67,862.07,990.57,863.92,952.66,1077.44,921.56,1070.49,828.71,1095.03,1168.99,1104.86,944.69,1056.4,1111.97,1210.07,865.99,1152.95,1036.83,1030.53,1235.99,1023.91,1055.35,1031.13,1037.34,1213.51,1119.71,1279.62,1061.84,879.06,887.66,1229.33,1054.27
CONTROL,257.4,1040.28,1018.0,1251.74,942.53,1006.0,1100.1,866.76,893.44,1094.08,1142.81,912.37,913.7,995.64,930.05,1024.54,1199.66,930.2,968.87,970.56,718.01,864.43,999.94,1064.13,1012.48,1185.25,999.17,1197.27,1024.08,1090.36,967.23,1049.5,968.2,885.62,1181.42,803.43,1059.77,1207.03,1044.76,1179.61,950.05,1031.14,950.57,1052.26,1003.2,924.51,1046.34,1082.97,1259.44,923.66,1135.13,1077.34,980.84,1185.6,1172.89,1080.68,1010.29,939.28,1005.64,1028.99,1067.21,974.7,917.67,930.88,985.17,832.14,1107.08,980.66,1053.16,851.19,1010.47,814.76,972.16,1087.94,937.56,1112.04,809.59,1026.9,1154.65,1090.13,928.6,1054.8,1115.92,1181.72,866.65,1170.67,1113.48,1008.19,1223.83,982.17,1077.44,1057.93,1122.33,1211.93,1091.84,1222.67,1085.74,864.72,895.75,1223.1,1063.38
CONTROL,257.5,1078.98,970.49,1238.69,949.41,982.71,1067.18,846.75,882.28,1111.48,1149.21,944.22,913.51,992.14,954.9,1054.65,1217.82,933.13,987.6,1033.95,701.79,865.8,1024.64,1024.39,1060.24,1174.85,1019.23,1147.92,1038.62,1061.83,956.55,1049.94,976.47,867.96,1200.45,799.07,1085.1,1203.85,1056.9,1188.96,931.37,1037.77,925.55,1066.77,997.37,927.61,1101.46,1078.46,1201.06,888.21,1134.19,1074.08,940.82,1164.09,1132.73,1081.76,1009.62,961.23,1028.38,997.81,1084.95,959.05,911.87,945.66,973.95,830.2,1074.47,981.53,1087.48,864.09,1003.46,799.25,942.98,1109.69,913.86,1122.29,803.37,1044.63,1209.67,1083.3,963.42,1066.57,1094.43,1239.7,878.82,1143.05,1114.18,1058.13,1237.2,997.57,1016.88,1014.28,1055.44,1213.46,1084.77,1209.14,1043.82,870.73,922.12,1225.72,1003.97
CONTROL,257.6,1015.77,999.68,1208.37,950.98,975.42,1145.82,867.23,887.43,1079.04,1118.71,954.83,880.59,973.79,927.54,1070.72,1210.32,936.76,999.34,967.22,705.0,861.08,1050.25,1024.24,1060.51,1194.86,979.86,1120.6,1117.47,1097.04,972.12,1019.09,999.54,914.53,1194.75,770.42,1160.07,1121.77,1031.02,1205.16,938.71,1028.65,925.15,1032.67,966.92,968.6,1092.12,1066.58,1234.39,907.37,1096.89,1094.01,975.99,1149.25,1182.39,1057.63,1023.16,902.57,1004.84,985.23,1074.99,951.38,1051.02,1070.43,987.26,828.69,1081.31,995.18,1081.94,880.34,982.38,798.35,904.64,1085.73,939.06,1109.2,812.03,1100.3,1131.47,1094.52,967.72,1070.79,1117.87,1263.73,870.67,1126.21,1070.31,1028.97,1215.96,1012.99,1031.0,1003.86,1104.21,1186.27,1109.32,1161.9,1057.89,885.89,922.92,1220.41,1027.4
CONTROL,257.7,1042.21,996.0,1268.04,982.59,983.06,1134.84,862.07,865.18,1056.54,1129.72,933.51,932.35,983.72,947.2,1010.52,1225.37,932.48,930.88,987.26,728.66,866.3,1019.38,1030.26,1045.66,1230.05,1008.15,1096.62,1079.02,1114.16,956.34,1000.22,991.2,874.84,1154.32,795.82,1130.55,1118.58,1034.68,1151.22,934.11,1042.87,929.76,1023.2,983.77,947.05,1080.09,1069.01,1243.69,918.4,1101.0,1104.88,988.52,1192.83,1175.57,1095.23,1000.93,975.5,998.18,993.35,1100.28,985.05,1088.12,1084.87,967.79,826.37,1066.26,973.04,1077.64,871.66,969.6,796.28,960.73,1088.36,909.56,1117.16,818.75,1058.14,1163.26,1100.04,970.77,1036.05,1102.3,1232.1,868.52,1160.18,1109.3,1013.77,1147.01,1025.71,1042.45,1032.56,1094.51,1243.17,1131.13,1176.74,1065.19,897.09,916.08,1300.78,1008.88
CONTROL,257.8,1040.73,984.34,1231.26,974.09,967.7,1093.87,893.13,901.09,1125.15,1163.9,919.89,919.73,1013.63,931.89,1053.12,1232.41,960.37,987.37,1006.3,700.15,862.35,1038.0,1019.41,1064.16,1177.35,961.49,1084.09,1033.35,1094.42,942.99,1045.0,969.88,911.0,1140.86,784.66,1103.21,1074.34,1034.56,1152.99,935.77,982.19,842.73,1045.46,980.2,935.47,1055.26,1087.84,1204.07,911.37,1145.53,1141.41,995.91,1194.23,1198.45,1042.29,1034.8,933.65,1022.99,1028.7,1022.04,966.21,1068.19,1051.27,997.83,814.08,1098.23,990.57,1061.06,868.48,991.16,804.11,973.76,1122.85,944.48,1114.0,804.64,1038.79,1180.5,1071.65,967.35,1014.33,1085.05,1250.77,893.02,1153.9,1059.46,1038.03,1205.3,1000.54,1078.32,1006.62,1080.26,1204.14,1103.1,1214.63,1105.92,841.55,932.87,1318.81,986.47
CONTROL,257.9,1041.88,976.24,1192.84,987.91,985.08,1074.42,849.17,875.46,1117.8,1196.19,951.54,922.56,1020.95,923.21,1023.72,1224.87,915.39,1004.31,1000.16,691.01,857.43,999.34,1025.12,1076.98,1199.8,973.81,1092.87,1014.76,1072.6,938.8,1040.79,989.92,894.41,1159.81,807.04,1112.49,1117.99,1028.23,1172.57,919.56,1037.2,913.86,1083.78,996.03,925.61,1061.0,1100.72,1256.05,905.45,1116.49,1027.35,936.78,1158.39,1151.25,1103.23,1040.79,959.49,1046.89,989.19,1063.2,969.89,1051.54,1086.21,983.0,843.3,1087.45,946.93,1097.63,846.58,973.63,959.1,953.06,1066.53,955.29,1071.21,819.99,1045.39,1178.37,1080.39,951.15,1077.94,1138.82,1245.07,833.06,1153.22,1113.37,1020.65,1174.3,1028.52,1018.0,1013.08,1052.76,1207.61,1104.13,1188.97,1072.18,870.84,929.92,1272.32,1034.0
CONTROL,258.0,1032.61,989.76,1214.63,1009.46,972.12,1097.77,855.29,895.22,1070.33,1186.17,937.12,909.5,1005.14,920.89,1031.28,1234.4,946.59,990.77,1016.29,718.77,854.45,1045.74,1054.71,1032.98,1197.49,1022.54,1038.19,1058.56,1046.62,972.97,1034.39,957.97,921.71,1220.67,769.26,1110.31,1049.49,1011.17,1245.61,949.66,1016.35,933.69,1049.52,970.4,957.98,1094.96,1055.83,1251.77,906.85,1128.74,1070.69,963.8,1154.52,1207.25,1108.89,1010.87,937.42,1014.07,1048.22,1068.83,932.69,1037.23,1074.84,1004.1,827.77,1048.21,989.74,1054.37,865.65,1004.06,1014.21,944.56,1093.83,943.15,1108.33,816.28,1101.3,1152.96,1088.35,942.03,1051.82,1112.5,1231.26,866.79,1150.87,1116.18,1027.13,1142.33,1037.07,1055.56,1019.84,1079.03,1238.77,1088.46,1178.68,1055.12,870.22,932.89,1253.17,1015.66
CONTROL,258.1,1057.21,982.91,1232.74,916.33,991.43,1095.71,867.16,856.74,1106.59,1136.26,945.64,937.53,1030.87,945.26,1005.09,1261.57,915.39,986.67,1006.53,699.63,872.67,1047.64,1018.0,1062.37,1213.05,996.81,1041.12,1009.75,1085.57,990.19,1053.0,963.4,890.63,1156.46,776.7,1113.01,1064.87,982.15,1160.95,937.91,1030.63,875.72,1045.28,1004.78,921.57,1048.13,1061.25,1261.46,895.24,1133.11,1101.67,956.25,1153.73,1154.39,1042.66,1045.65,926.73,987.19,964.28,1073.82,944.2,1045.46,1056.99,989.15,858.27,1078.91,980.63,1050.62,850.54,977.62,1025.93,959.25,1054.91,963.24,1121.44,829.94,1075.22,1189.5,1071.82,929.82,1035.85,1096.09,1217.98,882.5,1109.98,1088.82,1039.47,1146.73,1009.75,1063.72,1037.87,1056.97,1269.4,1095.93,1202.63,1087.52,855.12,928.29,1258.69,1035.78
CONTROL,258.2,1021.35,969.59,1246.17,908.35,970.88,1085.86,859.68,864.23,1083.88,1083.75,946.44,865.51,986.75,887.84,1039.38,1236.27,947.59,981.28,1018.72,702.81,867.44,1002.05,1029.41,1053.09,1198.23,1010.77,1062.8,1064.12,1063.98,958.57,1001.93,968.64,895.59,1173.19,790.6,1122.32,1049.6,1008.48,1195.52,953.77,1009.71,898.52,1049.55,1038.36,922.09,1071.44,1085.64,1252.32,848.71,1149.48,1071.58,980.35,1182.78,1124.91,1084.93,1047.57,920.86,1011.67,1021.3,1004.17,963.01,1015.82,1032.64,987.56,835.95,1060.37,986.59,1071.7,821.65,995.56,992.83,974.15,1101.81,981.71,1161.72,828.69,1052.79,1205.83,1069.51,977.02,1026.16,1108.36,1220.05,851.8,1119.69,1072.34,1053.52,1145.71,1044.58,1043.72,984.98,1114.97,1219.01,1122.42,1168.48,1029.18,890.99,932.11,1275.75,1026.87
CONTROL,258.3,1016.08,996.82,1240.5,970.85,958.66,1069.83,867.39,864.54,1096.15,1126.94,926.89,924.05,1002.74,917.82,1049.39,1245.85,974.16,995.58,1015.11,702.98,869.85,1030.54,1034.58,1029.02,1200.29,995.26,1027.32,995.99,1087.72,974.58,1050.6,986.98,922.98,1152.07,794.98,1142.34,1003.27,969.09,1203.97,916.68,994.32,898.0,1018.38,963.26,943.83,1074.27,1071.13,1215.87,916.42,1163.72,1071.94,962.11,1180.59,1149.72,1073.32,1037.06,939.39,971.45,1005.23,1088.2,933.91,1035.63,1013.05,955.58,809.04,1101.48,997.43,1097.52,868.96,1012.85,950.44,970.63,1066.99,951.57,1126.36,831.74,1034.9,1129.66,1056.3,957.76,1077.03,1127.68,1245.77,889.58,1132.99,1111.53,1054.99,1133.14,1013.32,1060.64,1025.42,1088.12,1254.83,1125.09,1163.86,1114.68,854.25,949.7,1293.44,1039.21
CONTROL,258.4,1053.54,983.19,1272.21,968.48,991.93,1072.43,892.18,887.09,1085.17,1142.3,967.56,910.59,992.61,935.11,1051.2,1217.64,951.64,1006.53,1013.18,723.3,869.39,1038.8,1025.9,1037.39,1192.56,1025.86,1013.24,1078.02,1048.38,952.05,1029.03,1001.79,907.08,1191.71,781.14,1104.47,1059.87,996.97,1164.98,925.05,1009.37,913.03,1062.32,984.45,955.93,1065.0,1082.85,1203.16,946.7,1153.71,1083.3,980.74,1132.67,1159.33,1103.33,1012.32,947.4,995.7,980.67,1023.6,968.28,999.73,1025.41,993.38,842.97,1042.62,1000.22,1089.24,873.91,965.65,931.9,975.2,1114.25,950.0,1089.47,810.12,1032.01,1162.22,1063.15,949.09,1029.4,1139.28,1235.68,848.6,1137.05,1109.94,1050.14,1092.66,981.75,1055.95,1012.03,1094.56,1208.89,1115.59,1169.56,1035.07,839.93,907.16,1262.93,1040.21
CONTROL,258.5,1018.68,1001.39,1200.05,946.25,968.49,1044.69,860.95,874.59,1070.42,1195.56,907.84,910.95,1040.3,913.07,1082.53,1206.19,917.97,974.59,966.44,716.46,870.21,1041.48,1035.57,1041.29,1153.85,1013.09,990.61,1002.25,1060.76,1004.14,1059.09,974.72,906.71,1199.59,780.54,1091.05,1012.43,985.17,1237.63,925.65,1018.56,899.43,1019.24,990.96,954.03,1049.71,1066.04,1185.12,909.29,1079.56,1071.42,973.6,1162.32,1155.22,1130.58,990.77,916.86,1016.35,1011.23,1077.46,928.9,964.84,979.95,960.88,843.17,1062.5,974.41,1075.4,872.62,1009.1,949.07,954.48,1093.2,970.76,1091.59,782.1,1064.0,1155.85,1082.23,977.08,1066.24,1081.33,1262.49,850.24,1160.42,1058.62,994.74,1145.5,1014.95,1073.93,1012.47,1090.46,1260.23,1121.28,1167.74,1071.98,851.04,932.53,1299.96,1014.44
CONTROL,258.6,1051.26,954.91,1231.88,957.83,988.94,1093.84,874.08,882.92,1061.04,1170.44,931.49,884.94,1008.84,925.4,1272.47,1217.68,939.61,961.56,956.78,714.18,854.6,1027.42,1035.27,1063.62,1160.38,959.2,1003.45,1083.54,1045.7,981.53,1024.62,988.57,887.04,1169.12,788.98,1125.12,1030.81,989.34,1247.44,946.76,1030.39,1076.02,1041.58,999.68,946.06,1070.14,1097.49,1229.62,904.56,1119.48,1058.44,964.37,1144.83,1171.92,1085.27,1046.11,950.86,1020.19,1001.13,1046.98,925.04,948.7,1001.55,985.07,828.79,1092.72,992.03,1040.33,870.53,965.21,907.83,954.01,1069.75,945.5,1138.08,814.7,1103.06,1153.72,1109.79,923.54,1059.5,1112.61,1213.46,878.73,1135.02,1061.46,1015.41,1133.76,1030.83,1055.55,1027.96,1051.5,1206.79,1114.0,1185.75,1011.93,850.53,912.28,1240.32,1056.84
CONTROL,258.7,1043.86,964.8,1203.2,929.75,994.17,1062.27,854.66,892.27,1105.05,1113.37,945.69,895.31,990.01,957.66,1323.76,1220.02,960.38,1001.66,976.59,696.72,851.04,1028.24,1005.7,1004.68,1193.73,994.96,1019.19,1038.82,1064.92,950.89,1048.08,998.2,895.0,1190.43,804.79,1149.93,978.67,1001.52,1214.1,927.58,1023.52,1072.43,1073.53,986.17,954.36,1069.46,1107.76,1172.92,924.9,1132.87,1054.35,988.07,1145.97,1172.15,1066.96,1023.11,958.73,1048.13,996.11,1070.56,956.17,970.35,991.93,955.58,839.02,1081.5,1013.65,1067.68,875.68,992.24,919.95,941.07,1130.85,912.34,1105.96,837.21,1033.66,1181.86,1124.92,966.69,1056.61,1112.71,1269.07,967.1,1101.59,1055.47,1050.86,1089.96,1007.2,1056.01,1040.85,1094.88,1226.66,1096.38,1167.58,1071.3,860.56,944.83,1274.78,1003.35
CONTROL,258.8,1029.1,919.84,1209.69,957.54,981.44,1110.71,858.75,851.45,1141.06,1107.42,921.87,929.05,1000.78,936.48,1331.01,1238.94,965.93,986.64,1007.1,698.79,856.47,1022.12,1037.87,1061.16,1196.37,993.92,956.24,1043.42,1053.73,961.06,1023.49,978.34,902.94,1202.88,770.59,1115.32,949.69,980.2,1206.84,934.53,1032.37,1112.7,1016.1,976.24,944.05,1059.46,1081.94,1226.61,904.48,1108.97,1051.22,972.75,1170.27,1169.83,1078.94,1041.61,952.09,1008.31,1010.17,1050.8,960.67,912.64,967.43,984.75,785.42,1085.23,1006.76,1055.55,878.08,992.86,881.99,968.56,1087.86,932.61,1101.86,1002.61,1075.11,1156.47,1111.42,963.01,1053.4,1098.41,1266.54,1002.73,1163.26,1087.62,1054.01,1130.45,1005.95,1073.43,1016.23,1077.47,1232.62,1132.49,1134.93,1100.73,867.42,932.35,1261.22,1060.22
CONTROL,258.9,1036.16,971.7,1262.5,943.11,975.63,1102.36,842.33,896.76,1058.84,1181.05,949.64,934.48,997.64,929.6,1257.14,1223.07,936.66,977.23,968.92,700.34,840.45,1043.36,1059.68,1026.99,1152.37,983.62,1026.47,1046.66,1113.03,964.08,1068.38,982.24,917.43,1184.54,781.48,1138.75,986.82,1011.96,1192.52,972.61,1048.67,1069.53,1036.37,1007.63,938.53,1242.89,1113.42,1214.37,907.54,1113.51,1093.94,1006.37,1156.74,1145.63,1081.89,971.91,922.96,1017.15,1010.11,1052.89,953.32,949.59,993.63,980.53,844.9,1105.44,978.56,1070.77,848.99,980.6,900.51,949.86,1110.32,963.76,1104.0,1041.09,1053.72,1202.57,1086.18,922.57,1073.35,1112.23,1260.79,1008.28,1140.93,1096.91,994.74,1109.97,1015.13,1040.37,1032.51,1082.06,1195.9,1126.32,1148.11,1088.34,856.01,916.6,1308.09,1008.37
CONTROL,259.0,1041.23,957.48,1238.3,1010.9,965.89,1101.5,877.41,864.46,1071.15,1143.12,896.01,913.05,988.97,939.11,1234.77,1272.16,944.06,980.88,950.07,705.71,877.63,994.09,1059.33,1045.16,1218.17,997.01,1001.49,1022.06,1082.63,954.32,1038.2,977.4,871.79,1209.79,783.49,1114.95,982.73,995.01,1210.05,908.39,1015.01,1045.86,1049.81,1024.44,947.45,1281.71,1074.33,1236.23,913.14,1141.8,1041.88,988.88,1145.11,1163.08,1046.75,999.59,923.09,1009.43,1002.04,1068.75,951.64,930.0,972.04,977.67,853.96,1015.19,991.65,1052.41,843.16,945.09,886.38,946.67,1095.0,955.26,1078.71,1013.43,1073.41,1162.38,1086.0,955.66,1057.26,1100.46,1258.77,1009.53,1149.13,1086.85,1028.49,1128.72,980.95,1068.41,1006.24,1099.05,1235.01,1126.11,1173.53,1053.53,903.34,924.85,1258.96,1026.23
CONTROL,259.1,1052.59,990.59,1282.75,959.69,963.9,1053.96,873.03,844.72,1097.93,1145.69,946.2,922.14,1003.37,914.14,1224.37,1242.01,957.08,982.24,999.7,733.97,867.3,1011.58,1032.72,1076.06,1174.85,1014.39,1000.87,1031.2,1103.57,956.38,1051.66,1004.91,897.96,1161.2,804.73,1143.5,995.64,979.58,1184.71,967.39,1007.29,1046.96,1049.28,975.87,924.3,1264.01,1074.7,1232.48,913.12,1103.05,1089.99,980.77,1208.69,1166.86,1099.98,1044.09,968.68,1011.31,1002.07,1020.08,927.71,947.4,936.27,997.8,849.9,1081.11,992.19,1085.77,845.28,989.56,884.56,958.63,1023.13,958.78,1141.3,1019.02,1059.18,1176.55,1094.97,942.59,1046.46,1106.73,1213.96,966.21,1151.08,1075.99,1069.17,1129.29,952.77,1043.7,1029.81,1096.69,1222.98,1148.85,1175.49,1038.44,851.95,933.27,1269.66,1063.83
CONTROL,259.2,1030.04,998.82,1268.7,972.37,987.86,1113.93,875.98,894.01,1042.38,1163.62,952.54,939.22,1001.82,898.27,1211.35,1197.11,941.98,971.88,1004.34,707.9,855.26,1006.96,1023.82,1046.47,1185.99,977.18,1002.58,1019.67,1101.63,922.31,1028.66,944.85,875.49,1172.85,782.2,1126.49,932.83,950.95,1209.14,951.29,1065.33,1042.08,1031.72,968.24,933.88,1275.18,1077.33,1223.08,903.05,1096.8,1089.66,1028.66,1180.67,1152.81,1063.01,1041.98,929.89,980.98,967.85,1040.77,997.63,948.79,965.23,997.89,802.23,1063.23,995.56,1069.01,834.75,969.48,868.45,956.64,1072.41,948.09,1121.98,1024.17,1073.99,1134.3,1112.85,948.92,1055.1,1100.17,1189.96,945.55,1144.99,1060.8,999.62,1084.54,993.65,1047.45,1013.37,1067.78,1222.58,1140.36,1128.55,1070.64,877.34,929.49,1263.64,1025.57
CONTROL,259.3,1038.78,981.32,1260.14,999.54,934.29,1112.61,831.91,865.46,1054.01,1105.21,916.77,905.47,986.44,946.3,1211.94,1217.34,925.12,976.47,967.51,698.7,849.03,1070.19,1011.87,1052.44,1158.92,969.99,984.25,1064.78,1043.14,948.64,1034.66,967.73,907.61,1153.13,815.75,1151.92,973.48,1013.85,1195.62,923.0,977.51,1019.79,1056.92,1016.46,952.35,1274.84,1106.43,1221.73,900.27,1101.02,1059.17,981.56,1198.97,1231.18,1072.2,988.53,957.21,1011.01,995.68,1017.04,954.36,930.56,959.02,1024.63,824.43,1054.76,974.95,1072.3,839.6,984.17,885.14,952.1,1077.65,954.55,1092.32,998.22,1069.55,1211.44,1076.06,929.1,1079.46,1108.97,1224.98,954.16,1106.96,1119.96,1036.07,1094.77,1016.11,1044.46,1048.04,1082.5,1245.68,1090.31,1137.55,1076.57,847.65,921.35,1254.99,983.1
